City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,praia da vitoria,38.7333,-27.0667,14.86,83,30,2.33,PT,1669867526
190,vodstroy,48.8416,44.5579,-8.84,86,5,5.0,RU,1669867526
191,kiunga,-6.1219,141.2906,29.19,67,100,1.79,PG,1669867526
192,naliya,23.2667,68.8333,24.59,36,0,4.11,IN,1669867527
193,gemena,3.25,19.7667,20.08,97,99,0.64,CD,1669867527
194,tura,25.5198,90.2201,24.39,54,0,0.27,IN,1669867527
195,khingansk,49.1167,131.1833,-23.76,84,99,4.87,RU,1669867528
196,bengkulu,-3.8004,102.2655,27.75,67,96,2.26,ID,1669867528
197,porto torres,40.835,8.3972,5.1,78,16,2.96,IT,1669867281
198,kirakira,-10.4544,161.9205,29.02,72,94,2.3,SB,1669867529
199,florianopolis,-27.6146,-48.5012,22.85,96,100,0.89,BR,1669867265
200,jieshi,22.8134,115.8257,16.1,72,90,5.85,CN,1669867529
201,susurluk,39.9136,28.1578,14.35,94,81,0.56,TR,1669867529
202,vila velha,-20.3297,-40.2925,23.86,97,100,5.8,BR,1669867393
203,port-gentil,-0.7193,8.7815,25.77,83,100,4.27,GA,1669867530
204,bethel,41.3712,-73.414,7.2,55,75,4.63,US,1669867530
205,provideniya,64.3833,-173.3,-1.94,74,100,2.0,RU,1669867531
206,lebanon,36.2081,-86.2911,3.31,79,0,0.0,US,1669867460
207,athabasca,54.7169,-113.2854,-20.77,95,100,3.56,CA,1669867183
208,raga,8.4596,25.678,23.15,55,95,1.7,SS,1669867531
209,kamenka,51.3223,42.7678,-6.28,74,6,3.06,RU,1669867532
210,walvis bay,-22.9575,14.5053,16.16,91,19,2.12,NA,1669867532
211,constitucion,-35.3333,-72.4167,11.8,81,0,5.6,CL,1669867532
212,sibu,2.3,111.8167,30.28,66,75,1.18,MY,1669867533
213,broome,42.2506,-75.833,1.92,66,84,4.92,US,1669867289
214,evensk,61.95,159.2333,-2.65,96,100,3.65,RU,1669867533
215,boa vista,2.8197,-60.6733,24.74,74,99,4.04,BR,1669867264
216,neyvo-rudyanka,57.3444,60.1343,-14.49,95,100,1.36,RU,1669867534
217,odweyne,9.4092,45.064,18.52,49,4,0.81,SO,1669867534
218,kudahuvadhoo,2.6708,72.8944,26.83,68,15,1.54,MV,1669867534
219,tuatapere,-46.1333,167.6833,13.65,58,79,7.1,NZ,1669867535
